listing_id,Mean_Sentiment_Polarity,Total_Reviews_per_listing
580815,0.3743001535426828,46
587584,0.3861975931744565,63
598023,0.5388618007196304,13
604600,0.4166666666666667,1
606297,0.3618475337484266,140
609252,0.36409090909090913,2
609421,0.37869316652008966,13
609610,0.4152082930397325,22
609701,0.36308053285704533,456
611500,0.3142435666355703,40
611509,0.384411726700067,74
613020,0.4144658755886337,145
631445,0.43857861323755565,159
635878,0.3219432795845611,28
637710,0.4038099492963411,98
639130,0.42876686214426607,13
649243,0.4607480875928353,232
654734,0.3655446891496991,76
655894,0.5383333333333333,1
657257,0.21517112225006962,3
658540,0.42823219784009314,47
661708,0.33653135356706787,7
670021,0.2788209186146145,27
670056,0.3501093891077787,34
671828,0.28878066378066375,1
674113,0.398299391847998,233
677266,0.3977402107551725,83
677365,0.36340628156588195,54
681866,0.40518646928468355,28
689309,0.3331713483548887,10
690912,0.3461078004700128,37
693956,0.6999999999999998,1
699460,0.4138863351801705,223
703058,0.45029152467981765,142
704764,0.42483017867109546,226
706385,0.42683262794562793,399
707599,0.4387398243967428,69
708774,0.39785329449960627,121
710370,0.38417191881148643,19
720742,0.39810171261487054,5
722537,0.41358400351902797,55
723723,0.359255507971235,50
723846,0.36066647861416556,103
729409,0.3525792721666556,27
741699,0.3896897705500626,190
748526,0.3634650349037554,84
752483,0.4709072264504299,131
755613,0.4165006746285715,80
757840,0.46110131048728925,265
760471,0.4905067841212922,36
769213,0.3833820984212517,389
777159,0.40337281787923107,33
778382,0.46754047117252,14
784579,0.3873529411764706,1
785830,0.5033294672035482,6
788146,0.42214879941731803,27
789229,0.3878496611884508,111
790860,0.5099645354645355,11
793629,0.37543309523490037,249
794633,0.4062748128626806,479
797358,0.38143279134843333,154
803902,0.4210105479582568,14
808134,0.46388557539047737,66
823989,0.3681142938743822,182
826436,0.4231709814875032,40
828298,0.3552488924820573,47
838764,0.41242796560015943,28
841140,0.3782785654976832,13
841274,0.3973151952793147,99
844939,0.41434566382919225,58
846763,0.40879093705567426,61
877203,0.40123140972246746,62
879181,0.3557749815363485,70
890677,0.417015472322708,91
902243,0.46913301525178924,59
902609,0.39423994594162876,179
904057,0.3829334047729639,301
909102,0.4472932045347274,160
931785,0.4238330772422754,70
934123,0.47934061477243306,33
935432,0.4879470899470899,19
935671,0.35432495552139387,88
936177,0.4854120508990958,30
942490,0.3739225873448709,118
945833,0.5146598639455783,3
948077,0.4081935808178001,261
953595,0.3908826239534861,133
955506,0.4011096776510902,41
973859,0.3799221829824384,221
975179,0.40295307890822823,375
977722,0.35357366491162356,122
993804,0.3412125256016385,4
995443,0.36423198390248795,43
1000883,0.42428339090260403,136
1002835,0.3794846744954851,57
1003890,0.39198060180557115,176
1009838,0.4054192653970705,175
1012003,0.4202878114038294,31
1022135,0.30540226671476667,9
1023693,0.3821829718842206,216
1030411,0.41267296918767504,5
1039766,0.42550422037443797,286
1042022,0.4066703162813845,231
1043194,0.3679670594059673,47
1048798,0.41947145302513433,241
1049293,0.4378642834029663,23
1071203,0.4415752000853768,30
1084117,0.49799714244337906,15
1090307,0.40317252342295123,128
1090449,0.39808111220978043,271
1097520,0.3930444520076266,183
1097766,0.4231531670698631,140
1100375,0.3845294784580499,3
1100686,0.40253026101096506,267
1110749,0.42712823423039004,259
1112092,0.4219465684625413,41
1114695,0.42048790407294095,57
1121599,0.3786065946610647,330
1121819,0.3802304628988089,78
1122236,0.4061864148482283,111
1136522,0.31695049183087565,17
1136984,0.40269483489805996,201
1141226,0.3900350608450193,49
1142039,0.3711968775999276,45
1145148,0.29257646183181907,15
1145941,0.3932164950435342,179
1146966,0.42542025515049103,224
1150519,0.387334881963419,17
1157083,0.419034808312337,41
1159111,0.40039277629853276,93
1159226,0.3875513270925841,53
1163345,0.3729937941262357,316
1167507,0.3410062083678233,102
